レコード番号,案件管理CD(自動採番),会計CD,ブランド名,ブランド名(その他),物件名称,物件名称（カナ）,【PS】物件No,郵便番号,地図表示用 所在地,緯度_代表点,経度_代表点,確認日_代表点,緯度_入口指定,経度_入口指定,確認日_入口指定,確認方法,入口座標フラグ,入口座標の郵便番号,入口座標の都道府県,入口座標の市区町村,入口座標の町域以降,入口座標の建物名,備考,都道府県,市区町村,町域,丁,番,号,複数の番地,建物および階,補足情報（今までの経緯や駐車場の入口に関する情報等）,所在地(謄本地番),丁,番,号,複数の番地,開設日,閉鎖日,四輪(時間貸),自動二輪(時間貸),自転車(時間貸),時間貸台数,四輪(月極),自動二輪(月極),自転車(月極),月極台数
4539,P1000014,1010140,Dﾊﾟｰｷﾝｸﾞ,,函館松風町PS第4,ハコダテマツカゼチョウピーエスダイヨン,TOK8500070,040-0035,北海道函館市松風町12-13,,,,,,,,,,,,,,,北海道,函館市,松風町12-13,,,,,,,北海道函館市松風町12-13,,,,,2024/09/13,,12,0,0,12,0,,,0
4540,P1000015,1010141,Dﾊﾟｰｷﾝｸﾞ,,函館元町PS第1,ハコダテモトマチピーエスダイイチ,TOK8500071,040-0054,北海道函館市元町24-17,,,,,,,,,,,,,,,北海道,函館市,元町24-17,,,,,,,北海道函館市元町24-17,,,,,2024/09/13,,10,0,0,10,0,,,0
4542,P1000087,1040086,Dﾊﾟｰｷﾝｸﾞ,,鉄砲町PS第2,テッポウマチピーエスダイニ,SND7800190,983-0861,宮城県仙台市宮城野区鉄砲町東1-7,,,,,,,,,,,,,,,宮城県,仙台市宮城野区,鉄砲町東1-7,,,,,,,宮城県仙台市宮城野区鉄砲町東1-7,,,,,2016/10/05,,0,0,0,0,3,,,3
4543,P1000108,1040109,Dﾊﾟｰｷﾝｸﾞ,,二十人町PS第1,ニジュウニンマチピーエスダイイチ,SND8500027,9830862,宮城県仙台市宮城野区二十人町309,,,,,,,,,,,,,,,宮城県,仙台市宮城野区,二十人町309,,,,,,,宮城県仙台市宮城野区二十人町309,,,,,2025/04/01,,8,0,0,8,0,,,0
4545,P1000241,1131581,Dﾊﾟｰｷﾝｸﾞ,,花畑6丁目PS第1,ハナハタロクチョウメピーエスダイイチ,TOK8100013,1210061,東京都足立区花畑6丁目28-21,,,,,,,,,,,,,,,東京都,足立区,花畑6丁目28-21,,,,,,,東京都足立区花畑6丁目28-21,,,,,2020/05/13,,6,0,0,6,0,,,0
4546,P1000305,1140563,Dﾊﾟｰｷﾝｸﾞ,,鎌倉腰越PS第1,カマクラコシゴエ,HIR8500002,248-0033,神奈川県鎌倉市腰越３丁目２２-１,,,,,,,,,,,,,,,神奈川県,鎌倉市,腰越３丁目２２-１,,,,,,,神奈川県鎌倉市腰越３丁目２２-１,,,,,2024/05/30,,19,0,0,19,0,,,0
4547,P1000306,1140564,Dﾊﾟｰｷﾝｸﾞ,,横浜岸谷PS第1,ヨコハマキシヤ,HIR8500005,230-0078,神奈川県横浜市鶴見区岸谷1丁目１７－８,,,,,,,,,,,,,,,神奈川県,横浜市鶴見区,岸谷1丁目１７－８,,,,,,,神奈川県横浜市鶴見区岸谷1丁目１７－８,,,,,2024/06/18,,6,0,0,6,0,,,0
4549,P1000309,1140567,Dﾊﾟｰｷﾝｸﾞ,,藤沢高谷PS第1,フジサワタカヤ,HIR8500020,251-0017,神奈川県藤沢市高谷534番,,,,,,,,,,,,,,,神奈川県,藤沢市,高谷534番,,,,,,,神奈川県藤沢市高谷534番,,,,,2024/11/01,,5,0,0,5,0,,,0
4550,P1000310,1140568,Dﾊﾟｰｷﾝｸﾞ,,川和町駅前PS第1,カワワチョウエキマエ,HIR8500021,224-0057,"神奈川県横浜市都筑区川和町3006,30",,,,,,,,,,,,,,,神奈川県,横浜市都筑区,"川和町3006,30",,,,,,,"神奈川県横浜市都筑区川和町3006,30",,,,,2024/11/13,,33,0,0,33,0,,,0
4553,P1000313,1140571,Dﾊﾟｰｷﾝｸﾞ,,都筑ふれあいの丘駅PS第1,ツヅキフレアイノオカエキピーエス,HIR8600001,224-0065,神奈川県横浜市都筑区高山8-15隣,,,,,,,,,,,,,,,神奈川県,横浜市都筑区,高山8-15隣,,,,,,,神奈川県横浜市都筑区高山8-15隣,,,,,2025/05/22,,25,0,0,25,0,,,0
